model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
C Class,2019,19049,Manual,35568,Diesel,65.7,1.6,mercedes-benz,30485024
EV6,2021,38500,Automatic,13532,Electric,0.0,0.0,kia,30563404
Sportage,2020,21250,Manual,14219,Petrol,34.9,1.6,kia,30425863
Picanto,2021,11700,Manual,14467,Petrol,52.3,1.0,kia,30408207
Xceed,2022,18900,Manual,15119,Petrol,44.8,1.5,kia,30458570
Niro,2022,23400,Automatic,15953,Hybrid,64.2,1.6,kia,30458569
Arona,2020,15300,Manual,16662,Petrol,49.6,1.0,seat,30368399
Niro,2022,23500,Automatic,17621,Hybrid,54.3,1.6,kia,29681683
Ibiza,2021,15700,Manual,18511,Petrol,51.4,1.0,seat,30309316
Picanto,2019,7900,Manual,20468,Petrol,56.5,1.0,kia,30552026
Ceed,2022,19800,Manual,22029,Petrol,49.6,1.5,kia,30458574
MX-5,2017,16549,Manual,14765,Petrol,40.9,2.0,mazda,30546361
208,2020,13900,Manual,22132,Petrol,53.3,1.2,peugeot,30368398
Picanto,2018,8880,Manual,24604,Petrol,61.4,1.2,kia,30476092
Astra,2019,12300,Manual,24783,Petrol,47.9,1.4,vauxhall,30290986
Sportage,2017,19300,Automatic,30997,Petrol,37.7,1.6,kia,30491596
Polo,2018,11600,Manual,39569,Petrol,60.1,1.0,volkswagen,30285917
Venga,2018,9850,Manual,43106,Diesel,64.2,1.6,kia,30491595
Sportage,2017,14650,Automatic,47708,Diesel,57.7,1.7,kia,30509037
Grandland X,2018,11500,Manual,57444,Petrol,55.4,1.2,vauxhall,30218132
MX-5,2023,25000,Manual,3,Petrol,44.8,1.5,mazda,30319997
Leaf,2022,28000,Automatic,1420,Electric,0.0,0.0,nissan,29366846
Clio,2018,10699,Manual,34980,Diesel,85.6,1.5,renault,30507608
Polo,2019,16799,Semi-Auto,42123,Petrol,39.8,2.0,volkswagen,30354452
Leaf,2022,23600,Automatic,3193,Electric,0.0,0.0,nissan,29811731
Leaf,2022,19650,Automatic,4274,Electric,0.0,0.0,nissan,29811728
Leaf,2022,20900,Automatic,4786,Electric,0.0,0.0,nissan,29619174
Niro,2022,25500,Automatic,7556,Hybrid,64.2,1.6,kia,30467585
Mazda2,2022,17900,Automatic,7676,Petrol,52.3,1.5,mazda,30290988
Taigo,2022,21230,Manual,8162,Petrol,51.4,1.0,volkswagen,30394102
Leaf,2022,24900,Automatic,8264,Electric,0.0,0.0,nissan,29811730
Corsa,2021,14900,Manual,8518,Petrol,53.3,1.2,vauxhall,30394101
Mazda2,2022,17900,Automatic,9090,Petrol,52.3,1.5,mazda,30326169
e-Niro,2022,27500,Automatic,9567,Electric,0.0,0.0,kia,30252249
Corsa,2019,10849,Manual,17675,Petrol,43.5,1.4,vauxhall,30480252
Leaf,2019,13499,Automatic,28351,Electric,0.0,0.0,nissan,30546332
CX-30,2022,20662,Manual,9328,Petrol,47.9,2.0,mazda,30515544
208,2022,17850,Manual,9792,Petrol,57.7,1.2,peugeot,30313329
Ka+,2017,8900,Manual,10173,Petrol,57.7,1.2,ford,30285923
CX-30,2022,19900,Manual,10583,Petrol,47.9,2.0,mazda,28932356
Fiesta,2020,14850,Manual,12430,Petrol,57.7,1.0,ford,30394103
i20,2020,11199,Manual,28208,Petrol,46.3,1.2,hyundai,30233451
3 Series,2019,26599,Semi-Auto,39413,Petrol,41.5,2.0,bmw,30447763
Kuga,2018,19500,Semi-Auto,19674,Diesel,42.2,2.0,ford,30060567
Mazda3,2021,19500,Manual,22045,Petrol,44.8,2.0,mazda,30472291
C4 Picasso,2017,14400,Semi-Auto,25165,Diesel,74.3,1.6,citroen,30165501
